GISJOIN,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,POPDENS,P0_44,PER0_44,P45_64,PER45_64,P65_,PER65,PERW,WNH,PERHIS,HISPNH,PERBLK,BLKNH,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,NYDUM,CASE4_11,CASE4_16,TEST4_16,CASE_5_1,TEST_5_1
G10001,10001,10001,B5,G6350,S,1591485,0,40.7506364,-73.9971766,8888.364626,1591485.818,10001,2014-2018,22924,0.014404157,13968,0.609317746,5556,0.242366079,3400,0.148316175,0.531408131,1,0.141598325,0,0.056229279,0,0.25,0.040799159,0.49660007,0.359551349,0.064423414,0.680177926,88526,0.153856221,0.105944815,0.680571031,0.022284123,0.003342618,0.035027855,0.032520891,0.018593315,0.016123329,0.052047239,0.931829432,0,0.043098936,0.1250905,1,,,,304,826
G10002,10002,10002,B5,G6350,S,2275172,0,40.7157758,-73.9862109,6633.373984,2275180.205,10002,2014-2018,74993,0.032961464,38639,0.515234755,20544,0.273945568,15810,0.210819677,0.219647167,0,0.271892043,0,0.069993199,0,0.411331724,0.086422388,0.545787099,0.305054262,0.042372881,0.339587559,35859,0.165442108,0.334585569,0.464541334,0.067100084,0.019682691,0.094417273,0.040826673,0.029195992,0.008789609,0.086216549,0.904461986,0.000223939,0.059233496,0.448807394,1,,,,848,1910
G10003,10003,10003,B5,G6350,S,1493004,0,40.7318292,-73.9891809,5804.939139,1492999.467,10003,2014-2018,54682,0.036625488,37842,0.692037599,10407,0.190318569,6433,0.117643832,0.704454848,1,0.082403716,0,0.054149446,0,0.134706119,0.058900605,0.511293442,0.313595807,0.076807887,0.801835966,112131,0.124172488,0.026029704,0.641445947,0.01423103,0.006945731,0.029480768,0.009600543,0.003364821,0.02254178,0.116206763,0.861251457,0,0.039065078,0.13623488,1,,,,389,1156
G10004,10004,10004,B5,G6350,S,1394739,10096,40.6888735,-74.0182129,15857.79749,1394743.929,10004,2014-2018,3028,0.002171016,1838,0.607001321,962,0.317701453,228,0.075297226,0.605680317,1,0.036988111,0,0.015521797,0,0.296895641,0.084745763,0.543341404,0.246489104,0.117675545,0.904201021,157645,0.185931308,0,0.757707129,0.00433526,0.00433526,0.004816956,0,0,0.01028518,0.031790556,0.957924264,0,0.049207398,0.013863773,1,,,,26,82
G10005,10005,10005,B5,G6350,S,188254,0,40.7060041,-74.0087853,2739.45603,188251.813,10005,2014-2018,8831,0.046910026,7674,0.86898426,1045,0.118333145,112,0.012682595,0.694372098,1,0.068848375,0,0.024799004,0,0.169516476,0.018067792,0.628490369,0.299089144,0.043601613,0.884451868,173333,0.139961499,0.001828989,0.751848566,0.000147885,0,0.017302573,0.005028098,0.000591541,0.003939123,0.001969561,0.994091316,0,0.026837278,0.012345679,1,,,,53,197
G10006,10006,10006,B5,G6350,S,241687,0,40.709627,-74.0129717,2286.291733,241689.7199,10006,2014-2018,3454,0.014291211,2868,0.830341633,570,0.165026057,16,0.00463231,0.632020845,1,0.119861031,0,0.010422698,0,0.198899826,0.048951049,0.565268065,0.309246309,0.07031857,0.927911275,176250,0.157209033,0,0.749527767,0,0.00982244,0.031734039,0,0,0.011096884,0.027742211,0.961160905,0,0.020845397,0.074136009,1,,,,21,86
G10007,10007,10007,B5,G6350,S,413125,0,40.7138577,-74.0077768,4335.370368,413127.4024,10007,2014-2018,7023,0.016999697,4755,0.677061085,1834,0.261141962,434,0.061796953,0.719920262,1,0.08258579,0,0.041862452,0,0.117613555,0.061893522,0.553894571,0.27852085,0.046682402,0.799924854,246813,0.135269828,0.027462468,0.711513244,0,0.004196171,0.024652505,0.009441385,0,0.004456328,0.124480095,0.871063577,0,0.006523469,0.027096302,1,,,,45,189
G10009,10009,10009,B5,G6350,S,1597616,0,40.7263986,-73.9786335,5306.931569,1597613.844,10009,2014-2018,57925,0.036257148,35365,0.610530859,13723,0.236909797,8837,0.152559344,0.512334916,1,0.247682348,0,0.085213638,0,0.128234786,0.050766101,0.590406256,0.273634688,0.060239049,0.594757084,61548,0.107276651,0.171387244,0.596289945,0.025097428,0.008885425,0.036570538,0.024193297,0.010693687,0.005656217,0.091841626,0.901958905,0.000543252,0.056075573,0.331001076,1,,,,601,1664
G10010,10010,10010,B5,G6350,S,988467,0,40.7391043,-73.9824552,7513.076394,988461.2656,10010,2014-2018,33730,0.034123547,22378,0.663445004,6629,0.196531278,4723,0.140023718,0.639490068,1,0.109783575,0,0.051230359,0,0.171153276,0.055061476,0.555814745,0.292559654,0.068377314,0.783906503,117923,0.105840498,0.05942648,0.705319872,0.018396272,0.003203572,0.00995049,0.010484419,0.003106495,0.031400054,0.039115187,0.927326679,0,0.035648286,0.118303844,1,,,,228,833
G10011,10011,10011,B5,G6350,S,1714096,0,40.7420427,-74.0006197,11259.59653,1714099.098,10011,2014-2018,50472,0.029445259,28588,0.566413061,13718,0.271794262,8166,0.161792677,0.714752734,1,0.113013156,0,0.047194484,0,0.091674592,0.063048296,0.552621194,0.275900798,0.070303251,0.787936643,128613,0.126941671,0.079923098,0.657792072,0.007296227,0.015039161,0.014056404,0.011376158,0.005598737,0.02883674,0.116889667,0.848755451,0.002225057,0.037075385,0.090497116,1,,,,453,1199
